ID,Genus (iNat),species (iNat),Genus (eButt-new),species (eButt-new),NABA Genus,NABA species,count,Simpleton grouping code,OW Stage,OW Stage Minji Provisional,Minji Source,Summer only (From Scott's maps),Group code notes,Comment,Count_35N
12,Anartia,jatrophae,,,Anartia,jatrophae,2325,OTH,?,breeds year round,https://animaldiversity.org/accounts/Anartia_jatrophae/,Mostly migratory above ~27N,Migratory above ~27N (does not hibernate),,NA
25,Atrytone,arogos,,,Anatrytone,arogos,173,RL,L,,,NA,,,NA
26,Atrytone,logan,Anatrytone,logan,Anatrytone,logan,1214,RL,L,,,NA,,,934
13,Ancyloxypha,numitor,,,Ancyloxypha,numitor,3502,RL,L,,,NA,,,3166
16,Anthocharis,midea,,,Anthocharis,midea,456,RP,P,,,NA,,,380
133,Glutophrissa,drusilla,,,Appias,drusilla,4,OTH,,,,Mostly migratory above ~26N,Mostly migratory above ~26N,,NA
19,Asbolis,capucinus,,,Asbolis,capucinus,404,OTH,?,breeds year round,https://www.butterfliesandmoths.org/species/Asbolis-capucinus,,Does not hibernate,,NA
20,Ascia,monuste,,,Ascia,monuste,520,OTH,?,"breeds year round, P",https://docs.google.com/spreadsheets/d/1txlclLbTnxk1hZM0aJNE4ME7jgalam7X5YXugYMtGsQ/edit#gid=726261303,Mostly migratory above ~27N,Migratory above ~26N,,NA
21,Asterocampa,celtis,,,Asterocampa,celtis,4061,RL,L,,,NA,,,3211
22,Asterocampa,clyton,,,Asterocampa,clyton,1252,RL,L,,,NA,,,978
,,,,,Asterocampa,sp,,RL,,,,,,,
23,Atalopedes,campestris,,,Atalopedes,campestris,4715,OTH,?,L,http://dwyerlab.uchicago.edu/wp-content/uploads/2014/02/CrozierAndDwyer06-2.pdf,Mostly migratory above ~35N,Migratory above ~35N (although I suspect this is more like 38N-LR),,4226
24,Atlides,halesus,,,Atlides,halesus,287,RP,P,,,NA,,,66
27,Atrytonopsis,hianna,,,Atrytonopsis,hianna,161,RL,L,,,NA,,,150
28,Atrytonopsis,loammi,,,Atrytonopsis,hianna,104,RL,L,,,NA,,,NA
,,,Atrytonopsis,quinteri,Atrytonopsis,not yet recognized,,RL,Inferred,,,NA,,,
29,Autochton,cellus,,,Autochton,cellus,32,RP,P,,,NA,,,9
30,Battus,philenor,,,Battus,philenor,3253,RP,P,,,Mostly migratory (but rare) above ~40N,,,2247
31,Battus,polydamas,,,Battus,polydamas,199,OTH,P,,,Mostly migratory above ~30N,Migratory above ~30N,,NA
32,Boloria,alaskensis,,,Boloria,NA,1,RL,L,,,NA,,,NA
33,Boloria,bellona,,,Boloria,bellona,1131,RL,L,,,NA,,,1097
34,Boloria,chariclea,,,Boloria,chariclea,53,RL,L,,,NA,,,9
35,Boloria,eunomia,,,Boloria,eunomia,51,RL,L,,,NA,,,24
36,Boloria,freija,,,Boloria,freija,40,RL,L,,,NA,,,7
37,Boloria,frigga,,,Boloria,frigga,5,RL,L,,,NA,,,3
38,Boloria,polaris,,,Boloria,polaris,10,RL,L,,,NA,,,NA
39,Boloria,selene,Boloria,myrina,Boloria,selene,776,RL,L,,,NA,,,677
66,Clossiana,chariclea,,,Boloria,chariclea,10,RL,L,,,NA,,,9
,,,Boloria,sp.,Boloria,sp.,,RL,,,,,,,
40,Brephidium,exilis,,,Brephidium,exile,10,OTH,?,"P, A(?)",https://www.inaturalist.org/guide_taxa/10937,ck scott,Absent >35N,,NA
41,Brephidium,pseudofea,,,Brephidium,isophthalma,72,RP,?,P,https://academic.oup.com/ee/article/40/5/1295/419906,ck scott,Absent >35N,,NA
,,,Unknown,Unknown,Butterfly,sp.,,OTH,,,,,,,
,,,Butterfly,sp,Butterfly,sp.,,OTH,,,,,,,
,,,Unknown,sp,Butterfly,sp.,,OTH,,,,,,,
,,,Saturnus,sp,Butterfly,sp.,,OTH,,,,,,,
42,Calephelis,borealis,,,Calephelis,borealis,85,RL,L,,,NA,,,85
43,Calephelis,muticum,,,Calephelis,mutica,50,RL,?,L,https://www.butterfliesandmoths.org/species/Calephelis-muticum,NA,,,48
44,Calephelis,virginiensis,,,Calephelis,virginiensis,296,RL,L,,,NA,,,NA
47,Callophrys,niphon,,,Callophrys,niphon,771,RP,P,,,NA,,,716
48,Callophrys,polios,Callophrys,polia,Callophrys,polios,113,RP,P,,,NA,,,107
83,Deciduphagus,augustinus,Callophrys,augustinus,Callophrys,augustinus,408,RP,P,,,NA,,#NAME?,341
149,Incisalia,eryphon,Callophrys,eryphon,Callophrys,eryphon,36,RP,P,,,NA,,,33
150,Incisalia,henrici,Callophrys,henrici,Callophrys,henrici,370,RP,P,,,NA,,,324
151,Incisalia,irus,Callophrys,irus,Callophrys,irus,1,RP,P,,,NA,,,NA
152,Incisalia,lanoraieensis,Callophrys,lanoraieensis,Callophrys,lanoraieensis,15,RP,,P,https://www.massaudubon.org/learn/nature-wildlife/insects-arachnids/butterflies/find-a-butterfly/(id)/74,NA,,,11
184,Mitoura,gryneus,Callophrys,grynea(us),Callophrys,gryneus,578,RP,P,,,NA,,,441
185,Mitoura,hesseli,Callophrys,hesseli,Callophrys,hesseli,17,RP,P,,,NA,,,11
278,Thecla,irus,,,Callophrys,irus,139,RP,P,,,NA,,Callophrys,114
,,,Callophrys,sp,Callophrys,sp.,,RP,,,,,,,
49,Calpodes,ethlius,,,Calpodes,ethlius,212,OTH,?,"L, breeds year round",https://docs.google.com/spreadsheets/d/1txlclLbTnxk1hZM0aJNE4ME7jgalam7X5YXugYMtGsQ/edit#gid=726261303,Mostly migratory above ~30N,Mostly migratory above ~30N,,53
50,Calycopis,cecrops,,,Calycopis,cecrops,2694,RL,L,,,Mostly migratory above ~40N (but rare),,,1416
51,Calycopis,isobeon,,,Calycopis,isobeon,8,OTH,?,,,Mostly migratory above ~28N,Mostly migratory above ~28N,,NA
52,Carterocephalus,palaemon,Carterocephalus,mandan,Carterocephalus,palaemon,617,RL,L,,,NA,,,551
53,Celastrina,idella,,,Celastrina,ladon,5,RP,P,,,NA,,,4
54,Celastrina,ladon,,,Celastrina,ladon,491,RP,P,,,NA,,,418
55,Celastrina,lucia,,,Celastrina,ladon,1346,RP,P,,,NA,,,1130
56,Celastrina,neglectamajor,,,Celastrina,neglectamajor,8,RP,P,,,NA,,,7
57,Celastrina,nigra,,,Celastrina,nigra,1,RP,P,,,NA,,,NA
58,Celastrina,serotina,,,Celastrina,ladon,13,RP,P,,,NA,,,13
76,Cyaniris,neglecta,Celastrina,neglecta,Celastrina,ladon,2304,RP,P,,,NA,,=Celastrina (this genus not used for ladon!),2151
,,,Celastrina,sp(.),Celastrina,sp.,,RP,,,,,,,
59,Cercyonis,pegala,,,Cercyonis,pegala,3280,RL,L,,,NA,,,3014
,,,Cercyonis,sp,Cercyonis,sp.,,OTH,,,,,,,
60,Chioides,albofasciatus,,,Chioides,albofasciatus,7,OTH,,,,,Absent >35N,synonymous with zilpa or catillus?,NA
61,Chlorostrymon,simaethis,,,Chlorostrymon,simaethis,3,OTH,,Breeds year round,https://edis.ifas.ufl.edu/uw057,,Absent >35N,NA species?,NA
279,Thecla,maesites,,,Chlorostrymon,maesites,1,OTH,,,,NA,Absent >35N,Chlorostrymon,NA
62,Chlosyne,gorgone,,,Chlosyne,gorgone,56,RL,L,,,NA,,,41
63,Chlosyne,harrisii,,,Chlosyne,harrisii,530,RL,L,,,NA,,,485
64,Chlosyne,lacinia,,,Chlosyne,lacinia,1,OTH,L,,,Mostly migratory above ~29N,Mostly migratory above ~29N,,NA
65,Chlosyne,nycteis,,,Chlosyne,nycteis,2272,RL,L,,,NA,,,2024
,,,Chlosyne,sp,Chlosyne,sp.,,RL,,,,,,,
,,,Chlosyne,palla,Chlosyne,palla,,OTH,,,,Stray only,,,
67,Coenonympha,tullia,Coenonympha,inornata,Coenonympha,tullia,2274,RL,L,,,NA,,,2159
68,Colias,eurytheme,,,Colias,eurytheme,3606,RL,L,,,NA,,,3497
69,Colias,hecla,,,Colias,hecla,3,RL,L,,,NA,Bienniel species,Changed from OTH to RL,NA
70,Colias,interior,,,Colias,interior,226,RL,L,,,NA,,,175
71,Colias,nastes,,,Colias,nastes,3,RL,L,,,NA,Bienniel species,Changed from OTH to RL,NA
72,Colias,palaeno,,,Colias,palaeno,2,RL,L,,,NA,,,NA
73,Colias,pelidne,,,Colias,pelidne,3,RL,?,L,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=IILEPA8260,NA,,,NA
74,Colias,philodice,,,Colias,philodice,3685,RL,L,,,NA,,,3519
292,Zerene,cesonia,,,Colias,cesonia,199,OTH,N,,,Mostly migratory above 35-37N,Mostly migratory >35N,,75
,,,Colias,gigantea,Colias,gigantea,,RL,L,,,NA,,,
,,,Colias,sp(.),Colias,sp.,,RL,,,,,,,
75,Copaeodes,minima,,,Copaeodes,minimus,272,OTH,,,,Confirm mostly migratory above 35N,Mostly migratory above 35N,,17
78,Cyllopsis,gemma,,,Cyllopsis,gemma,413,RL,L,,,NA,,,231
79,Cymaenes,tripunctus,,,Cymaenes,tripunctus,186,OTH,,,,NA,Absent >35N,,NA
80,Danaus,eresimus,,,Danaus,eresimus,28,OTH,?,P,https://www.butterfliesathome.com/soldier-butterfly.htm,Mostly migratory above ~27N,Mostly migratory above ~27N,,NA
81,Danaus,gilippus,,,Danaus,gilippus,822,OTH,?,"A, P",https://www.butterfliesathome.com/queen-butterfly.htm,Mostly migratory above ~28N,Mostly migratory above ~28N,,2
82,Danaus,plexippus,,,Danaus,plexippus,33590,OTH,A,,,All migratory,All migratory,A migrant in our study range,29860
84,Dione,juno,,,Dione,juno,1,OTH,,,,,Absent >35,Not a NA species?,NA
85,Dryas,iulia,,,Dryas,iulia,384,OTH,,Breeds year round,https://docs.google.com/spreadsheets/d/1txlclLbTnxk1hZM0aJNE4ME7jgalam7X5YXugYMtGsQ/edit#gid=726261303,ck-scott,Does not hibernate,,1
87,Electrostrymon,angelia,,,Electrostrymon,angelia,67,OTH,,,,,Absent >35,,NA
89,Enodia,portlandia,Lethe,portlandia,Enodia,portlandia,320,RL,L,,,NA,,,64
161,Lethe,anthedon,,,Enodia,anthedon,3753,RL,L,,,NA,,,3555
162,Lethe,appalachia,,,Enodia,appalachia,1273,RL,L,,,NA,,,1176
163,Lethe,creola,,,Enodia,creola,103,RL,L,,,NA,,,44
90,Epargyreus,clarus,,,Epargyreus,clarus,12796,RP,P,,,NA,,,11701
91,Ephyriades,brunnea,,,Ephyriades,brunneus,18,OTH,,,,?,Absent >35,,NA
92,Erebia,discoidalis,,,Erebia,discoidalis,7,OTH,L (?),"L, P(?)",https://www.butterfliesandmoths.org/species/Erebia-discoidalis,NA,Overwinter stage not known,,6
93,Erebia,mancinus,,,Erebia,mancinus,8,OTH,,,,?,Overwinter stage not known,,3
94,Erebia,rossii,,,Erebia,rossii,1,RL,,L,http://www.turtlepuddle.org/alaskan/butterfly18.html,NA,,,NA
95,Erora,laeta,,,Erora,laeta,22,OTH,"P (""POSSIBLY"")","E, P(?)",https://mnfi.anr.msu.edu/species/description/11680/Erora-laeta,?,Overwinter stage not known,,22
96,Erynnis,baptisiae,,,Erynnis,baptisiae,2080,RL,L,,,NA,,,2054
97,Erynnis,brizo,,,Erynnis,brizo,217,RL,L,,,NA,,,156
98,Erynnis,funeralis,,,Erynnis,funeralis,104,RL,L,,,NA,,,42
99,Erynnis,horatius,,,Erynnis,horatius,2131,RL,L,,,NA,,,755
100,Erynnis,icelus,,,Erynnis,icelus,567,RL,L,,,NA,,,462
101,Erynnis,juvenalis,,,Erynnis,juvenalis,1500,RL,L,,,NA,,,1265
102,Erynnis,lucilius,,,Erynnis,lucilius,108,RL,L,,,NA,,,107
103,Erynnis,martialis,,,Erynnis,martialis,22,RL,L,,,NA,,,18
104,Erynnis,persius,,,Erynnis,persius,1,RL,L,,,NA,,,1
105,Erynnis,zarucco,,,Erynnis,zarucco,200,OTH,L,,,"All migratory above ~30N except along e coast, above ~35N",Mostly migratory >35N,,8
,,,Erynnis,sp(.),Erynnis,sp.,,RL,,,, ,,,
,,,Erynnis,juvenalis/horatius,Erynnis,sp.,,RL,,,,,,,
,,,Erynnis,tristis,Erynnis,tristis,,OTH,,,,Stray,,,
106,Euchloe,ausonides,,,Euchloe,ausonides,2,RP,P,,,NA,,,1
107,Euchloe,olympia,,,Euchloe,olympia,105,RP,P,,,NA,,,104
108,Eumaeus,atala,,,Eumaeus,atala,430,OTH,,,,?,Absent >35,,NA
109,Eunica,tatila,,,Eunica,tatila,17,OTH,?,,,Mostly migratory above ~26N,Mostly migratory above ~26N,,NA
110,Euphydryas,phaeton,,,Euphydryas,phaeton,1085,RL,L,,,NA,,,1048
111,Euphyes,arpa,,,Euphyes,arpa,170,RL,?,L,https://www.butterfliesandmoths.org/species/Euphyes-arpa,NA,,,NA
112,Euphyes,bayensis,,,Euphyes,bayensis,2,RL,?,,,Stray,,Changed from RP,NA
113,Euphyes,berryi,,,Euphyes,berryi,57,RL,?,L,https://en.wikipedia.org/wiki/Euphyes_berryi,NA,,,1
114,Euphyes,bimacula,,,Euphyes,bimacula,73,RL,L,,,NA,,,71
115,Euphyes,conspicua,,,Euphyes,conspicua,119,RL,?,L,https://docs.google.com/spreadsheets/d/1txlclLbTnxk1hZM0aJNE4ME7jgalam7X5YXugYMtGsQ/edit#gid=726261303,NA,,,119
116,Euphyes,dion,,,Euphyes,dion,234,RL,L,,,NA,,,198
117,Euphyes,dukesi,,,Euphyes,dukesi,89,RL,L,,,NA,,,42
118,Euphyes,pilatka,,,Euphyes,pilatka,68,RL,?,L,https://alabama.butterflyatlas.usf.edu/species/details/63/palatka-skipper,NA,,,2
119,Euphyes,vestris,,,Euphyes,vestris,2307,RL,L,,,NA,,,2038
,,,Euphyes,sp,Euphyes,sp.,,RL,,,,,,,
,,,Euphyes-Pompeius-Wallengrenia,sp.,Euphyes-Pompeius-Wallengrenia,sp.,,OTH,,,,,,,
120,Euptoieta,claudia,,,Euptoieta,claudia,3182,OTH,A (cannot survive winter),,,Migratory where winter is cold,Does not hibernate,,2541
121,Euptoieta,hegesia,,,Euptoieta,hegesia,5,OTH,,,,ck scott,Absent >35,,NA
1,Abaeis,nicippe,,,Eurema,nicippe,1925,OTH,A,,,Mostly migratory above 36N,"OW as adult, mostly migratory above ~36N",,1012
123,Eurema,daira,,,Eurema,daira,706,OTH,A,,,"All migratory above ~30N except along e coast, above ~35N",Mostly migratory >35N,,NA
124,Eurema,mexicana,,,Eurema,mexicana,8,OTH,,,,Mostly migratory above ~28N,Mostly migratory above ~28N,,1
258,Pyrisitia,dina,,,Eurema,dina,12,OTH,,,,,Overwinter stage not clear,,NA
259,Pyrisitia,lisa,,,Eurema,lisa,1257,OTH,,A,https://www.floridamuseum.ufl.edu/wildflowers/butterfly/little-yellow-little-sulphur/,ck-scott,Overwinter as adult,,532
260,Pyrisitia,nise,,,Eurema,nise,1,OTH,,,,,Overwinter stage not clear,,NA
261,Pyrisitia,proterpia,,,Eurema,proterpia,1,OTH,,,,,Overwinter stage not clear,,NA
256,Protographium,marcellus,Eurytides,marcellus,Eurytides,marcellus,2713,RP,P,,,Migratory above ~40N,,#NAME?,1881
88,Elkalyce,comyntas,Cupido,comyntas,Everes,comyntas,9254,RL,L,,,NA,,Totally wacky genus!!,8595
125,Everes,amyntula,Cupido,amyntula,Everes,amyntula,40,RL,L,,,NA,,,3
130,Feniseca,tarquinius,,,Feniseca,tarquinius,461,OTH,L?,"P, L(?)","http://entnemdept.ufl.edu/creatures/bfly/harvester_butterfly.htm#:~:text=Caterpillars%20are%20present%20from%20June,as%20little%20as%20eight%20days.",NA,Overwinter stage unknown,,398
,,,Fritillary,sp(.),Fritillary,sp.,,RL,,,,,,,
132,Glaucopsyche,lygdamus,,,Glaucopsyche,lygdamus,1361,RP,P,,,NA,,,1224
134,Hamadryas,amphichloe,,,Hamadryas,amphichloe,4,OTH,,,,?,Absent >35,,NA
136,Heliconius,charithonia,,,Heliconius,charithonia,2032,OTH,,A,https://hgic.clemson.edu/factsheet/butterflies-of-south-carolina/,Mostly migratory above ~27N,Mostly migratory above ~27N,,3
77,Cyclargus,ammon,,,Hemiargus,ammon,1,OTH,?,A,https://www.butterfliesandmoths.org/species/Cyclargus-ammon,?,Absent >35N,,NA
86,Echinargus,isola,,,Hemiargus,isola,26,OTH,Cannot tolerate freezing,,,"Mostly migratory above ~30N, west of 94W, all migratory east of there",Does not hibernate,,17
137,Hemiargus,ceraunus,,,Hemiargus,ceraunus,788,OTH,,P,https://hgic.clemson.edu/factsheet/butterflies-of-south-carolina/,Mostly migratory above ~27N,Mostly migratory above ~27N,,2
139,Hermeuptychia,intricata,,,Hermeuptychia,NA,128,OTH,??,L,https://bugguide.net/node/view/1325085,??,Absent above 35N, ,2
140,Hermeuptychia,sosybius,,,Hermeuptychia,sosybius,1697,OTH,A,,,ck-scott,,,476
,,,Hermeuptychia,sp(.),Hermeuptychia,sp.,,OTH,,,,,,,
141,Hesperia,attalus,,,Hesperia,attalus,85,RL,,L,https://www.butterfliesandmoths.org/species/Hesperia-attalus,NA,,,6
142,Hesperia,comma,Hesperia,manitoba,Hesperia,comma,102,RE,E,,,NA,,,55
143,Hesperia,leonardus,,,Hesperia,leonardus,293,RL,L,,,NA,,,293
144,Hesperia,meskei,,,Hesperia,meskei,95,RL,,L,https://www.butterfliesandmoths.org/species/Hesperia-meskei,NA,,,9
145,Hesperia,metea,,,Hesperia,metea,48,RL,L,,,NA,,,48
146,Hesperia,sassacus,,,Hesperia,sassacus,198,RL,?,L,https://docs.google.com/spreadsheets/d/1txlclLbTnxk1hZM0aJNE4ME7jgalam7X5YXugYMtGsQ/edit#gid=726261303,NA,,,192
,,,Hesperiidae,sp,Hesperiidae,sp.,,OTH,,,,,,,
147,Hylephila,phyleus,,,Hylephila,phyleus,5355,OTH,?,"P(?), L(?)",http://entnemdept.ufl.edu/creatures/BFLY/fiery_skipper.htm,Mostly migratory above ~30N,Mostly migratory above ~30N,,3242
153,Junonia,coenia,,,Junonia,coenia,11725,OTH,A,,,Confirm mostly migratory above 35N,Mostly migratory above 35N,,8924
154,Junonia,neildi,,,Junonia,NA,187,OTH,,,,,Not a NA species?,Not a NA species,NA
155,Junonia,zonalis,,,Junonia,NA,3,OTH,,,,?,New Junonia? Recent revision,New Junonia? Recent revision,NA
156,Kricogonia,lyside,,,Kricogonia,lyside,2,OTH,,,,Mostly migratory above ~26N,Mostly migratory above ~26N,,NA
157,Leptotes,cassius,,,Leptotes,cassius,476,RP,,P,https://hgic.clemson.edu/factsheet/butterflies-of-south-carolina/,NA,,,1
158,Leptotes,marina,,,Leptotes,marina,1,OTH,,,,Mostly migratory above ~27N,Mostly migratory above ~27N,,1
,,,Leptotes,sp,Leptotes,sp.,,OTH,,,,,,,
159,Lerema,accius,,,Lerema,accius,1563,RP,,P,https://hgic.clemson.edu/factsheet/butterflies-of-south-carolina/,NA,,,567
160,Lerodea,eufala,,,Lerodea,eufala,147,OTH,?,L(?),https://hgic.clemson.edu/factsheet/butterflies-of-south-carolina/,ck-scott,Overwinter stage unknown,,20
,,,Lethe,sp.,Lethe,sp,,RL,,,,,,,
165,Libytheana,carinenta,,,Libytheana,carinenta,1932,OTH,A,,,Mostly migratory above ~38N,Overwinter as adult,,1449
166,Limenitis,archippus,,,Limenitis,archippus,5959,RL,L,,,NA,,,4840
167,Limenitis,arthemis,Limenitis,arthemis,Limenitis,arthemis,15106,RL,L,,,NA,,,13014
,,,Limenitis,Limenitis,Limenitis,sp.,,RL,,,,,,,
,,,Limenitis,sp,Limenitis,sp.,,RL,,,,,,,
168,Lycaeides,melissa,Plebejus,melissa,Lycaeides,melissa,12,RE,E,,,NA, , ,12
169,Lycaeides,samuelis,Plebejus,samuelis,Lycaeides,melissa,295,RE,,E,https://animaldiversity.org/accounts/Lycaeides_melissa/,NA,,samuelis subspecies of melissa,295
230,Plebejus,idas,,,Lycaeides,idas,87,RE,E,,,NA,,,44
126,Fabricius,dorcas,Lycaena,dorcas,Lycaena,dorcas,112,RE,E,,,NA,,Fabricius?,90
127,Fabricius,dospassosi,Lycaena,dospassosi,Lycaena,dorcas,44,RE,E,,,NA,,,20
128,Fabricius,epixanthe,Lycaena,epixanthe,Lycaena,epixanthe,263,RE,E,,,NA,,,234
129,Fabricius,helloides,Lycaena,helloides,Lycaena,helloides,41,RE,E,,,NA,,,41
138,Heodes,phlaeas,,,Lycaena,phlaeas,118,RL,??,"L(?), P(?)",https://animaldiversity.org/accounts/Lycaena_phlaeas/,??,Same as Lycaena phlaes,Lycaena? That genus also listed,111
170,Lycaena,phlaeas,,,Lycaena,phlaeas,1762,RL,L,,,NA,,Another phlaeas?,1682
,,,Lycaena,sp,Lycaena,sp.,,OTH,,,,,,,
, ,,Lycaena,hyllus,Lycaena,hyllus,,RE,E,,,NA,,,
,,,Lycaena,dione,Lycaena,dione,,RE,E,,,NA,,,
,,,Lycaenidae,sp,Lycaenidae,sp.,,OTH,,,,,,,
171,Marpesia,eleuchea,,,Marpesia,eleuchea,3,OTH,,,,,Absent > 35N,Not a NA species,NA
172,Marpesia,petreus,,,Marpesia,petreus,188,OTH,,,,Mostly migratory above ~27N,Mostly migratory above ~27N,,NA
179,Megathymus,cofaqui,,,Megathymus,cofaqui,1,RL,L,,,NA,,,NA
180,Megathymus,streckeri,,,Megathymus,streckeri,2,RL,L,,,NA,,,NA
181,Megathymus,yuccae,,,Megathymus,yuccae,17,RL,L,,,NA,,,4
122,Euptychia,cymela,Megisto,cymela,Megisto,cymela,3851,RL,L,,,NA,,,3495
183,Ministrymon,azia,,,Ministrymon,azia,2,OTH,,,,Mostly migratory above 30N,Absent > 35N,,NA
3,Aglais,io,,,NA,NA,12,OTH,A,,https://www.researchgate.net/publication/328364703_The_European_Peacock_Butterfly_Aglais_io_Linnaeus_1758_in_North_America_Lepidoptera_Nymphalidae,??,OW as adult (migratory status unclear),Not an NA species,12
5,Aglais,urticae,,,NA,NA,1,OTH,??,A,https://en.wikipedia.org/wiki/Small_tortoiseshell,??,OW as adult (migratory status unclear),Not an NA species,NA
45,Calisto,herophile,,,NA,NA,1,OTH,??,,,??,Not a NA species,Not an NA species,NA
253,Prepona,laertes,,,NA,NA,1,OTH,,,,,Not a NA species,Not a NA species,NA
186,Nastra,lherminier,,,Nastra,lherminier,285,OTH,,"P, L",https://bugguide.net/node/view/27931,NA,Overwinter stage unknown,,141
187,Nastra,neamathla,,,Nastra,neamathla,5,RP,,P,https://hgic.clemson.edu/factsheet/butterflies-of-south-carolina/,NA,,,NA
188,Nathalis,iole,,,Nathalis,iole,685,OTH,?,A,https://www.butterfliesandmoths.org/species/Nathalis-iole,Mostly migratory above ~34N,"Overwinter as adult, mostly migratory above ~34N",,188
189,Neonympha,areolatus,,,Neonympha,areolata,118,RL,,L,https://www.butterfliesandmoths.org/species/Neonympha-areolatus,NA,,,2
190,Neonympha,helicta,,,Neonympha,areolata,3,RL,,L,https://hgic.clemson.edu/factsheet/butterflies-of-south-carolina/,,Recently split from N. areolata - not recognized by NABA, ,1
191,Neonympha,mitchellii,,,Neonympha,mitchellii,17,RL,L,,,NA,,,13
,,,Nymphalidae,sp,Nymphalidae,sp.,,OTH,,,,,,,
4,Aglais,milberti,,,Nymphalis,milberti,722,OTH,A,,,NA,OW as adult (migratory status unclear),,655
192,Nymphalis,antiopa,,,Nymphalis,antiopa,3836,OTH,A,,,NA,Overwinter as adult,,3529
193,Nymphalis,l-album,Nymphalis,j-album,Nymphalis,vaualbum,1231,OTH,,A,https://bugguide.net/node/view/12877,NA,Overwinter as adult,,1073
194,Oarisma,garita,,,Oarisma,garita,2,RL,L,,,NA,,,2
195,Oarisma,poweshiek,,,Oarisma,poweshiek,1,RL,L,,,NA,,,1
196,Oeneis,bore,,,Oeneis,bore,2,RL,,L,https://www.butterfliesandmoths.org/species/Oeneis-bore,NA,,,NA
197,Oeneis,chryxus,Oeneis,calais,Oeneis,chryxus,45,RL,L as per BAMONA,,,NA, ,,43
198,Oeneis,jutta,Oeneis,balderi,Oeneis,jutta,68,RL,L,,,NA,,,46
199,Oeneis,macounii,,,Oeneis,macounii,22,RL,L as per BAMONA,,,NA,,,15
200,Oeneis,melissa,,,Oeneis,melissa,10,RL,L as per BAMONA,,,NA,,,5
201,Oeneis,polixenes,,,Oeneis,polixenes,5,RL,L as per BAMONA,,,NA,,,NA
,,,Oeneis,sp,Oeneis,sp.,,RL,,,,,,,
203,Oligoria,maculata,,,Oligoria,maculata,299,OTH,?,L,https://alabama.butterflyatlas.usf.edu/species/details/103/twin-spot-skipper,Mostly migratory above 35N,Mostly migratory above 35N,,3
204,Panoquina,ocola,,,Panoquina,ocola,1449,OTH,Freeze intolerant,,,Mostly migratory above 35N,Mostly migratory above 35N,,641
205,Panoquina,panoquin,,,Panoquina,panoquin,230,RL,?,L,https://hgic.clemson.edu/factsheet/butterflies-of-south-carolina/,NA,,,51
206,Panoquina,panoquinoides,,,Panoquina,panoquinoides,30,OTH,L,,,?,Absent >35N,,NA
293,Zerynthia,polyxena,Papilio,polyxenes,Papilio,polyxenes?,9261-probably P. polyxenes?,RP,P, , ,NA,Is this species actually Papilio polyxenes?,Not a NA species,7999
202,Oeneis,polyxenes,Papilio,polyxenes,Papilio,polyxenes?,721-this seems to high to be O. polixenes,RP,P, , ,NA,Is this species actually Papilio polyxenes? Before it was coded as Oeneis polixenes (needs to be corrected in iNat summary?), ,601
207,Papilio,andraemon,,,Papilio,andraemon,8,OTH,,,,?,Absent >35N,,NA
208,Papilio,appalachiensis,,,Papilio,glaucus,31,RP,,P,https://www.butterfliesandmoths.org/species/Papilio-appalachiensis, ,,,28
209,Papilio,aristodemus,,,Papilio,aristodemus,17,RP,P,,,NA,,,NA
